publisher_name,total_requests,total_bytes,hit_count,date
whiteswanfoundation-hindi,62,2064726,34,2022-03-07
pratinidhimanthan,119,3226642,74,2022-03-07
theceo,529,24697180,138,2022-03-07
forbesga,6,898194,1,2022-03-07
ftcftcftc,166,475118,83,2022-03-07
xchange,186,776574277,62,2022-03-07
newssensetn,4832,239227686,3928,2022-03-07
ejan,246727,60860529658,245782,2022-03-07
ajel,40165,275830061,39311,2022-03-07
transportandlogisticsme,541,28004193,313,2022-03-07
newslaundry,228943,14919906680,223963,2022-03-07
wuzupnigeria,1019,54553064,96,2022-03-07
dailynewsnepal,1,39595,0,2022-03-07
barandbench,108986,6098989364,102007,2022-03-07
deshdoot,25432,1026517403,22790,2022-03-07
sinceindependence-hindi,1500,122824438,1300,2022-03-07
pratidintime,1900,31633531,1489,2022-03-07
punjabtoday,14,1690754,2,2022-03-07
pennews,546,49075289,3,2022-03-07
netindian,1403,36944158,799,2022-03-07
thenewsagency,939,8103933,677,2022-03-07
sarkarnama,45123,221394392,42061,2022-03-07
fastbikesindia,279,19146288,157,2022-03-07
dainikgomantak,9098,109404905,6726,2022-03-07
barandbench-hindi,1815,76736711,1570,2022-03-07
sinceindependence,546,30931506,347,2022-03-07
whiteswanfoundation-tamil,129,6952887,104,2022-03-07
udaybulletin,2153,375996545,6,2022-03-07
happenings,146,23952016,4,2022-03-07
hindustanreads,67,9170670,0,2022-03-07
presscenter,45796,4753309143,45108,2022-03-07
mumbaitak,16829,215516942,15796,2022-03-07
thebridgechronicle,3559,43579040,3307,2022-03-07
greaterkashmir,3707,99312843,383,2022-03-07
theamj,8,86821,0,2022-03-07
pratidhvani,92,240553214,39,2022-03-07
crimetak,764,132241655,70,2022-03-07
evoindia,6172,176661896,5527,2022-03-07
rajexpress,5407,117673040,3906,2022-03-07
uptak,1119,51685835,160,2022-03-07
dharmadispatch,1842,23296972,1591,2022-03-07
sabq,1718,229217203,169,2022-03-07
whiteswanfoundation-kannada,30,1143391,15,2022-03-07
mimorelia,29242,593798002,28966,2022-03-07
whiteswanfoundation,6695,415571409,6227,2022-03-07
barandbench-kannada,1036,23859021,818,2022-03-07
startupcityindia,594,9311909,453,2022-03-07
ficl,14,25156838,3,2022-03-07
raftaar,58454,1389348061,58042,2022-03-07
esakal,5329044,92164817560,5299268,2022-03-07
matternews,194,6737172,102,2022-03-07
thecue,11665,139334568,10789,2022-03-07
sathyadeepam,13,1764134,0,2022-03-07
sinceindependence,466,36011791,335,2022-03-08
hindustanreads,24,4149105,1,2022-03-08
happenings,135,23565629,9,2022-03-08
whiteswanfoundation-tamil,24,1267991,11,2022-03-08
forbesga,19,2006881,0,2022-03-08
raftaar,55754,1329309577,55370,2022-03-08
peoplesreporter,1797,24569792,1505,2022-03-08
mumbaitak,21495,283835686,20714,2022-03-08
thebridgechronicle,3387,40814968,3124,2022-03-08
greaterkashmir,4097,116226441,440,2022-03-08
whiteswanfoundation-hindi,69,2117966,43,2022-03-08
pratinidhimanthan,49,2381672,32,2022-03-08
newslaundry,217775,14073734743,212380,2022-03-08
wuzupnigeria,1877,99449854,240,2022-03-08
pratidintime,1890,41396752,1477,2022-03-08
punjabtoday,32,2666514,0,2022-03-08
foodtechbiz,834,17780562,639,2022-03-08
gomantaktimes,1402,27829792,1136,2022-03-08
udaybulletin,28,2332246,8,2022-03-08
theceo,499,23266367,168,2022-03-08
netindian,1480,37218138,818,2022-03-08
sarkarnama,35309,185655097,32060,2022-03-08
thenewsagency,831,12666869,582,2022-03-08
fastbikesindia,271,14491298,137,2022-03-08
saamtv,6507,115163891,2641,2022-03-08
yoyocial,684,43975117,432,2022-03-08
xchange,396,1757203055,105,2022-03-08
dainikgomantak,9342,111809032,7225,2022-03-08
thecue,8127,109302079,7363,2022-03-08
whiteswanfoundation-kannada,38,1353018,6,2022-03-08
theamj,21,224461,0,2022-03-08
ejan,266776,57304579074,265617,2022-03-08
ajel,43344,398252268,41343,2022-03-08
transportandlogisticsme,599,29451845,412,2022-03-08
newssensetn,6912,353503208,5985,2022-03-08
magazine-watertoday,136,18064596,69,2022-03-08
ftcftcftc,154,409190,84,2022-03-08
kamadenu,664,437885319,317,2022-03-08
evoindia,7111,210612813,6579,2022-03-08
greatkarunadu,2,144652,0,2022-03-08
esakal,5033786,84671199423,5005227,2022-03-08
matternews,164,2358141,100,2022-03-08
sinceindependence-hindi,1830,131967314,1626,2022-03-08
bettorsinsider,640,36921883,381,2022-03-08
bhoomitoday,11,1854656,1,2022-03-08
barandbench-hindi,3260,93624739,2988,2022-03-08
whiteswanfoundation-malayalam,7,355710,4,2022-03-08
pratidhvani,179,410204981,64,2022-03-08
crimetak,600,110431558,83,2022-03-08
barandbench,128752,7338073577,117459,2022-03-08
deshdoot,27210,1125312630,24299,2022-03-08
rajexpress,5466,120953897,4304,2022-03-08
uptak,1078,67898832,77,2022-03-08
dharmadispatch,2179,27028847,1931,2022-03-08
tendernama,694,46809264,564,2022-03-08
iglobalnews,382,62398533,226,2022-03-08
presscenter,66960,6619966087,66360,2022-03-08
pennews,545,44035420,5,2022-03-08
sabq,1298,258283334,171,2022-03-08
