"publisher_name","referer_domain","total_requests","total_bytes","hit_count","date"
"raftaar","https://astrology.raftaar.in","61514","2209611466","60935","2022-03-02"
"hindustanreads","https://www.hindustanreads.com","9519","153523318","9409","2022-03-02"
"kamadenu","https://kamadenu.hindutamil.in","121386","3966102022","121104","2022-03-02"
"thebridgechronicle","https://www.thebridgechronicle.com","56681","994268555","56102","2022-03-02"
"tendernama","https://www.tendernama.com","2101","55223410","2038","2022-03-02"
"ftcftcftc","https://www.ftcftcftc.com","2904","57645485","2568","2022-03-02"
"theamj","https://www.theamj.org","285","3991777","225","2022-03-02"
"raftaar","https://travel.raftaar.in","2551","32981876","2488","2022-03-02"
"sinceindependence","https://www.sinceindependence.com","57086","867157571","56684","2022-03-02"
"ejan","https://www.ejan.co","2134651","94960308973","2133412","2022-03-02"
"sarkarnama","https://www.sarkarnama.in","632677","25492258214","632151","2022-03-02"
"newslaundry","https://www.newslaundry.com","26","183468","3","2022-03-02"
"eastmojo","https://www.eastmojo.com","58","370675","14","2022-03-02"
"dainikgomantak","https://www.dainikgomantak.com","78474","2343570258","78187","2022-03-02"
"thelawyer","https://www.thelawyer.co.ke","881","13608166","838","2022-03-02"
"tv5kannada","https://tv5kannada.com","785","113877883","770","2022-03-02"
"iglobalnews","https://www.iglobalnews.com","9104","193550401","8909","2022-03-02"
"whiteswanfoundation-kannada","https://kannada.whiteswanfoundation.org","618","7994923","524","2022-03-02"
"greatkarunadu","https://www.greatkarunadu.com","420","5878692","355","2022-03-02"
"bettorsinsider","https://www.bettorsinsider.com","21567","784172312","21082","2022-03-02"
"steelguru","https://www.steelguru.com","58055","1110026204","57448","2022-03-02"
"ajel","https://ajel.sa","1371472","40104689162","1370502","2022-03-02"
"newssensetn","https://www.newssensetn.com","14776","537868207","14514","2022-03-02"
"whiteswanfoundation","https://www.whiteswanfoundation.org","42697","1128694541","41987","2022-03-02"
"greaterkashmir","https://www.greaterkashmir.com","703966","23326209572","702460","2022-03-02"
"raftaar","https://dharm.raftaar.in","49749","1807704890","49398","2022-03-02"
"whiteswanfoundation-hindi","https://hindi.whiteswanfoundation.org","698","6238652","650","2022-03-02"
"dailynewsnepal","https://www.dailynewsnepal.com","192","2600550","139","2022-03-02"
"gomantaktimes","https://www.gomantaktimes.com","12610","145967562","12339","2022-03-02"
"xchange","https://www.xchange.co.bw","2681","64731791","2550","2022-03-02"
"startupcityindia","https://www.startupcityindia.com","5700","110783705","5439","2022-03-02"
"whiteswanfoundation-tamil","https://tamil.whiteswanfoundation.org","819","10035952","727","2022-03-03"
"foodtechbiz","https://www.foodtechbiz.com","8748","173729942","8451","2022-03-03"
"magazine-watertoday","https://magazine.watertoday.org","1460","27981612","1352","2022-03-03"
"dharmadispatch","https://www.dharmadispatch.in","12346","266630947","12031","2022-03-03"
"sarkarnama","https://www.sarkarnama.in","456753","16945016457","456291","2022-03-03"
"presscenter","https://www.presscenter.mn","86606","2863767083","86047","2022-03-03"
"ejan","https://www.ejan.co","1897280","81293864911","1895713","2022-03-03"
"deshdoot","https://www.deshdoot.com","210891","5768495474","210072","2022-03-03"
"barandbench-hindi","https://hindi.barandbench.com","10447","336552636","10321","2022-03-03"
"iglobalnews","https://www.iglobalnews.com","8504","199731669","8323","2022-03-03"
"greatkarunadu","https://www.greatkarunadu.com","302","2822309","279","2022-03-03"
"uptak","https://www.uptak.in","698224","26335478650","697126","2022-03-03"
"hindustanreads","https://www.hindustanreads.com","9756","161450110","9661","2022-03-03"
"happenings","https://www.happenings.com.ng","13","192361","0","2022-03-03"
"rajexpress","https://www.rajexpress.co","44790","731722300","44472","2022-03-03"
"newssensetn","https://www.newssensetn.com","14167","523322511","13960","2022-03-03"
"bhoomitoday","https://www.bhoomitoday.com","16","76213","10","2022-03-03"
"thenewsagency","https://www.thenewsagency.in","11862","244254230","11622","2022-03-03"
"mimorelia","https://mimorelia.com","572506","21028803382","571144","2022-03-03"
"ftcftcftc","https://www.ftcftcftc.com","3280","74004733","2957","2022-03-03"
"yoyocial","https://www.yoyocial.news","14221","87636847","14080","2022-03-03"
"wuzupnigeria","https://wuzupnigeria.ng","23629","393012306","23286","2022-03-03"
"whiteswanfoundation-malayalam","https://malayalam.whiteswanfoundation.org","373","3308235","347","2022-03-03"
"tv5kannada","https://tv5kannada.com","1267","183447489","1230","2022-03-03"
"raftaar","https://women.raftaar.in","29969","577282788","29846","2022-03-03"
"xchange","https://www.xchange.co.bw","2390","29460823","2262","2022-03-03"
"raftaar","https://dharm.raftaar.in","46731","1616133461","46324","2022-03-03"
"fastbikesindia","https://www.fastbikesindia.com","7585","103093638","7258","2022-03-03"
"startupcityindia","https://www.startupcityindia.com","6372","140879786","6117","2022-03-03"
"kamadenu","https://kamadenu.hindutamil.in","217148","6245469168","216683","2022-03-03"
"indiaglobalbusiness","https://www.indiaglobalbusiness.com","9929","134583771","9696","2022-03-03"
"mumbaitak","https://www.mumbaitak.in","253724","8949793852","253274","2022-03-03"
"evoindia","https://www.evoindia.com","51475","1124807240","50924","2022-03-03"
"pratidintime","https://www.pratidintime.com","57480","944845427","57174","2022-03-03"
"bettorsinsider","https://www.bettorsinsider.com","22310","808629340","21765","2022-03-03"
"transportandlogisticsme","https://www.transportandlogisticsme.com","10421","170935806","10085","2022-03-03"
"sinceindependence","https://www.sinceindependence.com","52999","747824144","52614","2022-03-03"
"pratinidhimanthan","https://www.pratinidhimanthan.com","3425","44345569","3281","2022-03-03"
"thelawyer","https://www.thelawyer.co.ke","741","13173421","696","2022-03-03"
"thelede","https://www.thelede.in","7","142765","0","2022-03-03"
"raftaar","https://travel.raftaar.in","2801","38322728","2750","2022-03-03"
"crimetak","https://www.crimetak.in","646141","23264483929","644638","2022-03-03"
"raftaar","https://news.raftaar.in","107843","1751313687","107543","2022-03-03"
"whiteswanfoundation-hindi","https://hindi.whiteswanfoundation.org","863","11031033","806","2022-03-03"
"ajel","https://ajel.sa","1292159","38125685397","1290921","2022-03-03"
"ficl","https://www.ficl.org.in","1099","20547450","998","2022-03-03"
"raftaar","https://health.raftaar.in","2618","45620859","2555","2022-03-03"
"tendernama","https://www.tendernama.com","5606","148087651","5497","2022-03-03"
"knocksense","https://www.knocksense.com","4","23347","1","2022-03-03"
"theceo","https://www.theceo.in","28633","560044492","28250","2022-03-03"
"raftaar","https://astrology.raftaar.in","47995","1577448146","47563","2022-03-03"
"netindian","https://www.netindian.in","49627","362267365","49348","2022-03-03"
"sinceindependence-hindi","https://hindi.sinceindependence.com","22743","454227157","22576","2022-03-03"
"greaterkashmir","https://www.greaterkashmir.com","684778","21900520781","683356","2022-03-03"
"whiteswanfoundation-kannada","https://kannada.whiteswanfoundation.org","674","6199245","625","2022-03-03"
"barandbench-kannada","https://kannada.barandbench.com","12148","365697165","11947","2022-03-03"
"theamj","https://www.theamj.org","619","5949179","544","2022-03-03"
"saamtv","https://www.saamtv.com","468662","14419766881","468067","2022-03-03"
"sabq","https://sabq.org","5439907","190395743104","5438841","2022-03-03"
"steelguru","https://www.steelguru.com","49963","814641390","49400","2022-03-03"
"whiteswanfoundation","https://www.whiteswanfoundation.org","46599","1211964372","45671","2022-03-03"
"whiteswanfoundation-bengali","https://bengali.whiteswanfoundation.org","1085","21199497","1018","2022-03-03"
"forbesga","https://www.forbesga.com","676","23558664","594","2022-03-03"
"thecue","https://www.thecue.in","144892","5066406639","143798","2022-03-03"
"peoplesreporter","https://www.peoplesreporter.in","19983","558279817","19758","2022-03-03"
"dainikgomantak","https://www.dainikgomantak.com","71431","2047375974","71196","2022-03-03"
"punjabtoday","https://www.punjabtoday.com","2547","67656779","2447","2022-03-03"
"newslaundry","https://www.newslaundry.com","26","365473","3","2022-03-03"
"eastmojo","https://www.eastmojo.com","47","343274","23","2022-03-03"
"matternews","https://www.matternews.org","4150","61089858","3949","2022-03-03"
"gomantaktimes","https://www.gomantaktimes.com","15221","220936779","14973","2022-03-03"
"sathyadeepam","https://www.sathyadeepam.org","12270","267463015","12087","2022-03-03"
"thebridgechronicle","https://www.thebridgechronicle.com","59500","1089818253","58906","2022-03-03"
"barandbench","https://www.barandbench.com","863091","28353788924","859145","2022-03-03"
"dailynewsnepal","https://www.dailynewsnepal.com","116","831203","92","2022-03-03"
"tendernama","https://www.tendernama.com","4403","117187896","4340","2022-03-04"
"eastmojo","https://www.eastmojo.com","37","246314","10","2022-03-04"
"sathyadeepam","https://www.sathyadeepam.org","16799","438155373","16477","2022-03-04"
"raftaar","https://astrology.raftaar.in","35961","1086210946","35548","2022-03-04"
"whiteswanfoundation-hindi","https://hindi.whiteswanfoundation.org","1215","8224343","1201","2022-03-04"
"barandbench","https://www.barandbench.com","954054","30159004498","949696","2022-03-04"
"raftaar","https://travel.raftaar.in","2507","29125566","2458","2022-03-04"
"startupcityindia","https://www.startupcityindia.com","6401","101535441","6242","2022-03-04"
"whiteswanfoundation-malayalam","https://malayalam.whiteswanfoundation.org","368","2182258","346","2022-03-04"
"hindustanreads","https://www.hindustanreads.com","8695","126540805","8581","2022-03-04"
"indiaglobalbusiness","https://www.indiaglobalbusiness.com","8810","123615259","8613","2022-03-04"
"barandbench-hindi","https://hindi.barandbench.com","9996","275853693","9924","2022-03-04"
"theamj","https://www.theamj.org","414","6691809","367","2022-03-04"
"rajexpress","https://www.rajexpress.co","61499","666632561","61211","2022-03-04"
"ficl","https://www.ficl.org.in","897","11062648","836","2022-03-04"
"sarkarnama","https://www.sarkarnama.in","404589","15237401603","404177","2022-03-04"
"thebridgechronicle","https://www.thebridgechronicle.com","61688","1158156954","61087","2022-03-04"
"kamadenu","https://kamadenu.hindutamil.in","118130","3763778073","117874","2022-03-04"
"whiteswanfoundation-kannada","https://kannada.whiteswanfoundation.org","814","7190062","738","2022-03-04"
"presscenter","https://www.presscenter.mn","62621","1961913820","62370","2022-03-04"
"magazine-watertoday","https://magazine.watertoday.org","856","14022004","770","2022-03-04"
"yoyocial","https://www.yoyocial.news","14466","71144125","14382","2022-03-04"
"forbesga","https://www.forbesga.com","607","13858769","518","2022-03-04"
